Temperature	DailyMeanTemperature	NightTemperature	Rainfall	WindSpeed	DailyMeanIrradiance	MeanIrradiance	SaturatedVapourPressure	VapourPressure	VaporPressureDeficit	DailyVapourPressureDeficit	DailyMeanVapourPressureDeficit
26.538	28.978	23.481	0	0.926	437.582	238.223	3.563	2.741	0.822	1.424	1.289
27.261	29.352	24.463	0	1.171	492.744	250.757	3.693	2.773	0.92	1.548	1.476
27.026	30.309	23.881	0	0.884	486.465	227.523	3.658	2.749	0.909	1.547	1.607
27.353	30.359	24.252	0	0.843	457.741	254.272	3.728	2.741	0.988	1.663	1.621
28.401	29.736	25.827	0	1.132	420.069	217.205	3.94	2.896	1.044	1.597	1.352
27.394	28.745	24.996	0	1.267	424.44	207.784	3.705	2.872	0.834	1.318	1.17
25.483	28.29	23.429	8.282	1.029	380.227	148.842	3.303	2.936	0.367	0.644	1.057
26.098	29.163	23.435	0	0.681	496.082	208.451	3.443	2.962	0.481	0.856	1.347
26.486	29.648	23.79	0	0.893	494.717	208.025	3.529	2.764	0.765	1.293	1.654
26.231	29.386	22.986	0	0.931	487.285	254.474	3.498	2.628	0.87	1.49	1.579
25.907	29.823	22.793	1.414	0.861	466.505	197.102	3.431	2.782	0.649	1.21	1.591
26.405	29.332	23.412	0	1.246	428.281	202.559	3.519	2.88	0.639	1.128	1.31
27.082	29.473	24.366	0	1.189	471.346	234.548	3.655	2.793	0.861	1.389	1.487
26.879	29.518	24.577	0	1.23	463.946	188.422	3.604	2.736	0.868	1.35	1.588
27.151	30.055	24.653	0	1.16	466.657	204.943	3.663	2.778	0.885	1.403	1.69
26.8	29.173	23.708	1.01	1.361	436.303	229.767	3.61	2.783	0.827	1.468	1.303
27.416	29.562	24.817	0	1.073	473.948	234.761	3.717	2.657	1.06	1.665	1.473
26.614	29.3	24.009	0	1.4	430.887	209.197	3.556	2.586	0.97	1.458	1.354
25.215	27.603	22.662	0.606	0.949	376.35	176.547	3.278	2.727	0.55	0.934	0.831
27.324	28.77	24.539	0	0.952	423.545	199.627	3.706	2.892	0.814	1.404	1.128
26.607	28.155	24.523	7.878	1.24	395.746	210.961	3.541	2.974	0.567	1.001	0.935
25.884	28.143	23.854	6.666	0.996	401.018	200.508	3.383	2.985	0.398	0.743	0.941
25.098	28.028	23.528	4.646	0.908	384.64	169.627	3.214	2.981	0.233	0.435	0.882
25.551	29.146	22.82	1.01	0.786	445.47	212.971	3.343	2.832	0.51	0.917	1.33
24.782	28.029	22.653	5.858	0.997	362.86	171.059	3.176	2.807	0.369	0.687	0.988
24.866	27.884	22.645	0.606	1.044	394.444	171.003	3.19	2.819	0.371	0.67	0.855
25.235	28.365	22.98	8.08	1.369	398.238	196.912	3.266	2.915	0.351	0.657	0.907
26.023	29.171	23.827	2.222	1.254	436.072	186.61	3.408	2.969	0.439	0.786	1.152
24.813	27.975	23.027	4.444	1.158	356.227	160.713	3.167	2.908	0.259	0.488	0.843
25.074	28.24	23.663	3.838	1.023	370.37	137.853	3.204	2.993	0.211	0.399	0.891
26.481	29.269	24.126	0	0.841	444.013	205.203	3.514	2.948	0.565	1.028	1.259
26.578	29.652	24.003	0	0.89	432.629	228.77	3.546	2.866	0.68	1.199	1.358
26.831	29.513	24.654	0	1.127	437.883	187.079	3.579	2.889	0.69	1.143	1.33
27.335	29.044	25.14	0	1.164	435.564	212.116	3.691	2.866	0.825	1.296	1.232
26.853	29.025	23.969	0	1.246	409.64	227.737	3.61	2.71	0.9	1.521	1.27
24.994	28.143	23.811	11.11	0.679	389.56	128.14	3.181	3.05	0.131	0.214	0.972
25.962	28.694	23.744	0.202	1.253	421.617	214.289	3.406	2.947	0.459	0.854	1.225
25.905	28.588	23.963	2.222	1.133	417.679	193.971	3.386	2.996	0.39	0.73	1.139
26.021	28.156	24.016	0	1.188	375.676	195.606	3.4	2.96	0.44	0.787	1.012
25.054	27.888	23.288	13.336	1.125	394.861	155.321	3.213	2.949	0.263	0.495	1.011
25.821	29.155	23.321	4.444	0.677	456.103	179.684	3.389	2.867	0.522	0.977	1.434
26.438	29.715	23.871	0.202	1.131	483.401	239.822	3.508	2.715	0.793	1.339	1.636
26.431	29.206	24.353	0	0.972	405.554	165.861	3.493	2.944	0.548	0.898	1.254
25.806	27.501	24.572	4.848	1.048	325.078	165.094	3.336	3.049	0.287	0.442	0.716
25.538	27.72	24.368	3.03	0.828	339.466	120.935	3.284	3.068	0.216	0.349	0.781
25.2	27.194	23.375	18.182	0.995	324.245	159.393	3.232	2.974	0.258	0.479	0.642
24.247	27.149	23.289	12.924	1.093	366.431	137.343	3.045	2.931	0.115	0.215	0.754
24.227	27.552	22.636	8.08	0.725	335.193	143.322	3.049	2.867	0.182	0.345	0.88
24.779	28.355	22.431	0.202	0.74	429.891	172.736	3.18	2.783	0.397	0.733	1.165
25.402	28.125	23.198	0.808	0.957	371.62	176.653	3.298	2.885	0.413	0.745	0.93
26.317	27.702	24.127	0	1.159	355.63	195.051	3.473	2.86	0.613	1.034	0.87
24.989	26.339	23.183	1.818	1.008	270.311	166.724	3.201	2.89	0.311	0.565	0.52
25.947	27.125	23.787	0	0.864	289.937	189.217	3.391	2.907	0.484	0.837	0.68
24.819	26.428	23.236	8.484	0.925	265.064	134.498	3.156	2.919	0.237	0.426	0.478
25.388	27.282	23.505	0.202	0.996	352.644	164.385	3.273	2.915	0.357	0.61	0.671
25.21	26.225	23.337	0.606	1.176	310.7	175.373	3.237	2.91	0.327	0.597	0.457
25.262	27.133	23.551	3.636	0.856	345.127	154.878	3.253	2.972	0.281	0.515	0.627
25.654	26.759	24.03	0.404	1.301	331.303	181.44	3.328	2.957	0.37	0.676	0.601
25.253	26.369	23.8	1.818	1.051	308.723	145.728	3.239	3.011	0.228	0.426	0.48
25.785	26.7	23.322	0	1.351	310.72	184.327	3.371	2.784	0.587	0.998	0.686
25.623	27.13	23.047	0	1.439	348.349	190.693	3.34	2.643	0.697	1.18	0.876
23.871	25.015	22.967	12.322	0.979	240.782	116.553	2.969	2.864	0.105	0.154	0.305
24.155	24.998	23.274	24.646	0.872	201.543	97.093	3.02	2.94	0.08	0.152	0.261
25.467	26.605	24.112	0	1.163	336.931	174.262	3.271	2.844	0.427	0.647	0.652
24.943	26.531	23.126	2.222	0.982	326.049	155.21	3.187	2.901	0.286	0.522	0.53
24.445	26.032	23.343	11.918	0.805	260.916	139.177	3.077	2.94	0.137	0.251	0.378
24.276	26.175	23.109	4.848	1.14	278.713	125.162	3.046	2.916	0.13	0.226	0.43
25.073	27.354	22.797	0.202	1.255	364.195	188.026	3.233	2.774	0.458	0.839	0.832
24.231	26.609	22.857	7.676	1.029	346.656	136.076	3.04	2.888	0.152	0.279	0.631
24.109	26.221	23.18	11.916	0.802	334.76	114.845	3.018	2.886	0.132	0.227	0.539
23.921	26.286	23.089	17.776	1.15	240.934	90.015	2.975	2.911	0.064	0.112	0.431
25.089	26.773	23.299	3.636	1.017	338.72	176.869	3.219	2.918	0.301	0.542	0.596
24.11	25.544	23.467	33.332	0.659	205.802	79.162	3.007	2.961	0.047	0.082	0.289
23.917	26.149	22.92	30.3	0.895	275.348	104.203	2.979	2.921	0.058	0.109	0.397
